序號,方言差編碼,詞目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
817,[方1]0820,不可以,"袂用得　buě-ǐng--tit, 袂使　buě-sái, 袂當　buě-tàng","袂使　buē-sái, 袂當　buē-tàng","袂使　buē-sái, 袂當　buē-tàng","毋通　m̄-thang, 袂用得　buē-īng--tit, 袂使　buē-sái, 袂當　buē-tàng","毋通　m̄-thang, 袂使　bē-sái, 袂當　bē-tàng","毋通　m̄-thang, 袂用的　bē-īng--ê, 袂使　bē-sái, 袂當　bē-tàng",袂使　buē sái,袂使　buē-sái,袂使　buē-sái,袂使　buē-sái
818,[方1]0821,不是,毋是　m̄-sǐ,毋是　m̄-sī,毋是　m̄-sī,毋是　m̄-sī,毋是　m̄-sī; m̄-tsī,毋是　m̄-sī,毋是　m̄-sī　,毋是　m̄-sī　,毋是　m̄-sī　,毋是　m̄-sī　
819,[方1]0822,很,"真　tsin, 誠　tsiânn","真　tsin, 誠　tsiânn","真　tsin, 誠　tsiânn","有夠　ū-kàu, 足　tsiok, 誠　tsiânn, 盡　tsìn","有夠　ū-kàu, 足　tsok, 真　tsin, 誠　tsiânn, 蓋　kài","有夠　ū-kàu, 足　tsok, 真　tsin, 誠　tsiânn, 蓋　kài","足　tsok, 誠　tsiânn","真　tsin, 誠　tsiânn","真　tsin, 誠　tsiânn","誠　tsiânn, 蓋　kài, 足　tsiok"
822,[方1]0825,自己,家己　ka-kī,家己　ka-kī,家己　ka-kī,家己　ka-kī,家己　ka-kī,家己　ka-kī; ka-tī,家己　kai-kī,家己　kai-kī,家己　ka-kī,家己　ka-tī
824,[方1]0827,這裡,遮　tsia,遮　tsia,遮　tsiâ,遮　tsia,遮　tsia,遮　tsia,遮　tsiô,遮　tsiâ,遮　tsiâ,遮　tsia
825,[方1]0828,倒,"倒　tò, 摒　piànn","倒　tò, 摒　piànn","倒　tò, 摒　piànn","倒　tò, 摒　piànn","倒　tò, 摒　piànn","倒　tòr, 摒　piànn",摒　piànn,摒　piànn,"倒　tò, 摒　piànn","倒　tò, 摒　piànn"
826,[方1]0829,砍,鏨　tsǎm,鏨　tsām,鏨　tsām,鏨　tsām,鏨　tsām,鏨　tsām,鏨　tsām,鏨　tsām,"鏨　tsām, 剁　tok","鏨　tsām, 剁　tok"
828,[方1]0831,解,敨　tháu,敨開　tháu--khui,敨開　tháu--khui,敨　tháu,敨　tháu,敨開　tháu--khui,敨　tháu,敨　tháu,敨　tháu,敨　tháu
830,[方1]0833,寫字,寫字　siá-lǐ,寫字　siá-jī,寫字　siá-lī,寫字　siá-jī,寫字　siá-jī,寫字　siá-jī,寫字　siá-lī,寫字　siá-jī,寫字　siá-lī,寫字　siá-jī
831,[方1]0834,撫,挲　so,"挲　so, 撫　hu","挲　so, 撫　hu","挲　so, 撫　hu","挲　sor, 撫　hu","挲　sor, 撫　hu","挲　so, 耎　luán","挲　so, 耎　juán","撫　hu, 挲　so, 耎　luán",撫　hu
832,[方1]0835,塞,楔　sueh,楔　sereh,楔　sueh,楔　seh,楔　seh,楔　seh,楔　sueh,楔　sueh,楔　sueh,"屧　siap, 疊　thia̍p, 楔　seh"
835,[方1]0838,洗澡,洗身軀　sué-sing-khu,洗身軀　seré-sing-khu,洗身軀　sué-siang-khu,洗身軀　sé-hun-su,洗身軀　sé-sing-khu,洗身軀　sé-sing-khu,洗身軀　sué-sing-khu,洗身軀　sué-sing-khu,洗身軀　sué-sing-khu,洗身軀　sé-sing-khu
836,[方1]0839,打架,相拍　sio-phah,相拍　sio-phah,相拍　sio-phah,相拍　sio-phah,相拍　sior-phah,相拍　sior-phah,相拍　sann-phah,相拍　sio-phah,"相拍　sio-phah, 冤家　uan-ke",相拍　sio-phah
837,[方1]0840,吵架,"相罵　sio-mǎ, 冤家　uan-ke","相罵　sio-mā, 冤家　uan-ke","相罵　sio-mā, 冤家　uan-ke","相罵　sio-mē, 冤家　uan-ke","相罵　sior-mē, 冤家　uan-ke","相罵　sior-mē, 冤家　uan-ke",相罵　sann-mā,相罵　sio-mī,"相嚷　sio-jióng, 相罵　sio-mā",相罵　sio-mē
838,[方1]0841,帶小孩,育飼　io-tshǐ,育飼　io-tshī,育飼　io-tshī,"育飼　io-tshī, 養飼　iúnn-tshī",育飼　ior-tshī,育飼　ior-tshī,顧囡仔　kòo-gín--á,顧囡仔　kòo-gín--á,顧囡仔　kòo-gín-á,顧囡仔　kòo-gín-á
839,[方1]0842,休息,"歇　hioh, 歇睏　hioh-khùn",歇　hioh,"歇　hioh, 歇睏　hioh-khùn","歇　heh, 歇睏　heh-khùn","歇　hiorh, 歇睏　hiorh-khùn","歇　hiorh, 歇睏　hiorh-khùn",歇睏　hioh-khùn,歇睏　hioh-khùn,歇睏　hioh-khùn,歇睏　hioh-khùn
841,[方1]0844,蛇爬行,"旋　suan, 趖　sô","旋　suan, 趖　sô","旋　suan, 趖　sô","旋　suan, 趖　sô","旋　suan, 趖　sôr","旋　suan, 趖　sôr","旋　suan, 趖　sô","旋　suan, 趖　sô",趖　sô,旋　suan
842,[方1]0845,鴨子吃東西,叨　lo; tho,叨　lo; tho,叨　lo; tho,叨　tho,叨　lor; lu,叨　lor,叨　ler; tho; lir,叨　lo; tho,叨　lo,叨　lo
843,[方1]0846,雞生蛋後呼叫,拍咯雞　phah-kok-ke,咯咯雞　ko̍k-ko̍k-ke,拍咯雞　phah-ko̍k-ke,拍咯雞　phah-ko̍k-ke,拍咯雞　phah-ko̍k-ke,拍咯雞　phah-ko̍k-ke,暫無資料　,暫無資料　,拍咯家　phah-ko̍k-ke,拍咯家　phah-ko̍k-ke
844,[方1]0847,狗悽厲的叫,吹螺　tsher-lêr,吹狗螺　tsher-káu-lêr,吹狗螺　tshe-káu-lê,吹狗螺　tshue-káu-lê,吹狗螺　tshue-káu-lê,吹狗螺　tshue-káu-lê,吹狗螺　tsher-káu-lêr,吹狗螺　tshe-káu-lê,吹狗螺　tsher-káu-lêr; tshe-káu-lê,吹狗螺　tshue-káu-lê
845,[方1]0848,猜,"猜　tshai, 臆　ioh",臆　ioh; ip,"猜　tshai, 臆　ioh","猜　tshai, 臆　ioh",臆　iorh,臆　iorh,臆　ioh,臆　ioh,臆　ioh,臆　ioh
846,[方1]0849,生氣,"受氣　siǔnn-khì, 惱氣　lóo-khì",受氣　siū-khì; siūnn-khì,受氣　siūnn-khì,受氣　siū-khì,受氣　siū-khì,受氣　siūnn-khì,受氣　siū-khì,受氣　siū-khì,受氣　siū-khì,受氣　siūnn-khì
847,[方1]0850,賣米,糶米　thiò-bí,糶米　thiò-bí,糶米　thiò-bí,糶米　thiò-bí,糶米　thiòr-bí,糶米　thiòr-bí,糶米　thiò-bí,糶米　thiò-bí,糶米　thiò-bí,糶米　thiò-bí
848,[方1]0851,買賣,買賣　bué-buě,買賣　bué-buē,買賣　bué-buē,買賣　bé-bē,買賣　bé-bē,買賣　bé-bē,買賣　bué-buē,買賣　bué-buē,買賣　bué-buē,買賣　bé-bē
849,[方1]0852,租房子,稅厝　sèr-tshù,稅厝　sèr-tshù,稅厝　sè-tshù,稅厝　suè-tshù,稅厝　suè-tshù,稅厝　suè-tshù,租厝　tsoo-tshù,"稅厝　sè-tshù, 租厝　tsoo-tshù",稅厝　sèr-tshù; sè-tshù,"稅厝　suè-tshù, 租厝　tsoo-tshù"
850,[方1]0853,二,"二　lī, 兩　nňg","二　jī, 兩　nn̄g","二　lī, 兩　nn̄g","二　jī, 兩　nn̄g","二　jī, 兩　nn̄g","二　jī, 兩　nn̄g",二　lī,二　jī,二　lī,二　jī; gī
853,[方1]0856,小,"小　sió, 細　suè","小　sió, 細　serè","小　sió, 細　suè","小　sió, 細　sè","小　siór, 細　sè","小　siór, 細　sè",小　sió,小　sió,"小　sió, 細　suè","小　sió, 細　sè"
855,[方1]0858,少,少　tsió,少　tsió,少　tsió,少　tsió,少　tsiór,少　tsiór,少　tsió,少　tsió,少　tsió,少　tsió
856,[方1]0859,熱,燒　sio,燒　sio,燒　sio,燒　sio,燒　sior,燒　sior,燒　sio,燒　sio,燒　sio,燒　sio
857,[方1]0860,不冷不熱,半燒冷　puànn-sio-líng,半燒冷　puànn-sio-líng,半燒冷　puànn-sio-líng,半燒冷　puànn-sio-líng,半燒冷　puànn-sior-líng,半燒冷　puànn-sior-líng,拉溫仔燒　ba-un-á-sio,拉溫仔燒　la-un-á-sio,"拉溫仔　la-un-á, 半燒冷　puànn-sio-líng","拉圇仔燒　la-lûn-á-sio, 半燒冷　puànn-sio-líng"
862,[方1]0865,年紀小,"少年　siàu-liân, 細漢　suè-hàn",細漢　serè-hàn,"少年　siàu-liân, 細漢　suè-hàn","少年　siàu-liân, 細漢　sè-hàn","少年　siàu-liân, 細漢　sè-hàn","少年　siàu-liân, 細漢　sè-hàn",細漢　suè-hàn,細漢　suè-hàn,細漢　suè-hàn,細漢　sè-hàn
863,[方1]0866,懶惰,貧惰　pîn-tuǎnn; pân-tuǎnn,"荏懶　lám-nuā, 貧惰　pîn-tuānn, 懶屍　lán-si","荏懶　lám-nuā, 貧惰　pîn-tuānn, 懶屍　lán-si","荏懶　lám-nuā, 貧惰　pân-tuānn; pîn-tuānn, 懶屍　lán-si","荏懶　lám-nuā, 貧惰　pûn-tuānn, 懶屍　lán-si","荏懶　lám-nuā, 貧惰　pân-tuānn, 懶屍　lán-si",貧惰　pîn-tuānn,貧惰　pûn-tuānn,貧惰　pîn-tuānn,貧惰　pîn-tuānn
864,[方1]0867,青色,青色　tshinn-sik,青色　tshinn-sik,青色　tshinn-sik,青　tshenn,青　tshenn,青色　tshenn-sik,青色　tshinn-sik,青色　tshinn-sik,青色　tshinn-sik,青色　tshenn-sik
866,[方1]0869,不要,莫　mài,"莫去　mài-khìr, 無愛　bô ài",莫　mài,"毋通　m̄-thang, 莫　mài, 無愛　bô ài","莫　mài, 無愛　bôr ài","莫　mài, 無愛　bôr ài",無愛　bô ài,無愛　bô ài,無愛　bô ài,無愛　bô ài
867,[方1]0870,一起,"鬥陣　tàu-tǐn, 做伙　tsuè-hér","鬥陣　tàu-tīn, 做伙　tserè-hér","鬥陣　tàu-tīn, 做伙　tsuè-hé","鬥陣　tàu-tīn, 做伙　tsò-hué","鬥陣　tàu-tīn, 做伙　tsòr-hué","鬥陣　tàu-tīn, 做伙　tsòr-hué",相佮　sann-kap,"做伙　tsuè-hé, 鬥陣　tàu-tīn","鬥陣　tàu-tīn, 做一下　tsuè--tsi̍t-ē, 做伙　tsuè-hér","同齊　tâng-tsê, 做伙　tsò-hué, 鬥陣　tàu-tīn"
868,[方1]0871,那裡,遐　hia,遐　hia,遐　hiâ,遐　hia,遐　hia,遐　hia,遐　hiô,遐　hiâ,遐　hia,遐　hia
870,[方1]0873,呼豬,吪仔　o-á,吪仔　o-á,吪仔　ô-á,吪仔霸　o-á-pà,吪仔　or-á,吪仔　or-á,"吪啊　êr-a, 吪仔　êr--á",吪仔　êr--á,吪仔　ô-á,吪仔　ô-á
871,[方1]0874,用指節打,枷　kuê,嘎　khia̍k,枷　kuê,枷　kê,枷　ké,"枷　kê, 嘎　khia̍k","硞　kho̍k, 枷　kuê",硞　kho̍k ,嘎　khia̍k ,"硞　khok, 擉　tak "
872,[方1]0875,鋪,"舒被　tshir-phěr, 鋪　phoo",舒　tshir,舒　tshu,"舒被　tshu-phuē, 鋪　phoo",舒被　tshu-phuē,舒被　tshu-phuē,鋪　phoo,鋪　phoo,"舒　tshi, 鋪　phoo","鋪　phoo, 舒　tshu"
873,[方1]0876,扭,"捘　tsǔn, 轉　tsuǎn",捘　tsūn,捘　tsūn,"捘　tsūn, 轉　tsuān","捘　tsūn, 轉　tsuān","捘　tsūn, 轉　tsuān",捘　tsūn,"捘　tsūn, 轉　tsuān",捘　tsūn,捘　tsūn
874,[方1]0877,撕,"拆　thiah, 剺　lì",剺　lì,"拆　thiah, 裂　liah","拆　thiah, 裂　liah, 剺　lì","拆　thiah, 裂　liah, 剺　lì","拆　thiah, 剺　lì, 裂　liah","拆　thiah, 剺　lì","拆　thiah, 剺　lì",拆　liah ,剺　lì
875,[方1]0878,掩,掩　ng,掩　ng,掩　ng,抰　uinn,掩　ng,掩　ng,掩　ng,掩　ng,"唔　onn, 掩　am, 掩　ng","掩　am, 掩　ng"
877,[方1]0880,推,"攄　lu, 㧣　tu",攄　lu,攄　lu,攄　lu,攄　lu,攄　lu,"攄　lu, 㧣　tu ",攄　lu　,"攄　lu, 㧣　tu ","攄　lu, 㧣　tu "
878,[方1]0881,撥算盤,擉算盤　tiak-sǹg-puânn; tak-sǹg-puânn,拍算盤　phah-sǹg-puânn,擉算盤　tiak-sǹg-puânn,擉算盤　tiak-sǹg-puânn,擉算盤　tia̍k-sǹg-puânn,擉算盤　tia̍k-sǹg-puânn,擉　tiak,擉算盤　tiak-sǹg-puânn,擉算盤　thak-sǹg-puânn,擉　thak 
879,[方1]0882,趴著,覆　phak,覆　phak,"覆　phak, 躄　phih","覆　phak, 躄　phih","覆　phak, 躄　phih","覆　phak, 躄　phih",躄　phī,躄　phih,躄　phih,躄　phih
880,[方1]0883,引誘,唌　siânn,唌　siânn,唌　siânn,唌　siânn,唌　siânn,唌　siânn,唌　siânn,唌　siânn,唌　siânn,唌　siânn
882,[方1]0885,雞生蛋前呼叫,呼蛋　khoo-tuann,呼蛋　khoo-tuann,呼蛋　khoo-tuann,呼蛋　khoo-tuann,呼蛋　khoo-tuann,呼蛋　khoo-tuann,呼蛋　kher-lua,呼蛋　khoo-lua,呼蛋　khoo-nua,呼蛋　khoo-tuann
884,[方1]0887,瘦,瘦　sán,瘦　sán,瘦　sán,瘦　sán,瘦　sán,瘦　sán,瘦　sán,瘦　sán,瘦　sán,瘦　sán
886,[方1]0889,掃地,掃塗跤　sàu-thôo-kha,"掃地　sàu-tèr, 掃塗跤　sàu-thôo-kha, 掃跤兜　sàu-kha-tau","掃地　sàu-tè, 掃塗跤　sàu-thôo-kha",掃塗跤　sàu-thôo-kha,"掃地　sàu-tè, 掃塗跤　sàu-thôo-kha","掃地　sàu-tè, 掃塗跤　sàu-thôo-kha",掃塗跤　sàu-thôo-kha,掃塗跤　sàu-thôo-kha,"掃厝　sàu-tshù, 掃塗跤　sàu-thôo-kha",掃塗跤　sàu-thôo-kha
887,[方1]0890,手指聚攏,五筋膎　gǒo-kun-kuê,五筋膎　gōo-kirn-kerê,五筋膎　gōo-kun-kuê,五筋膎　gōo-kin-kê,五筋膎　gōo-kin-kê,五筋膎　gōo-kin-kê,暫無資料　,暫無資料　,五筋膎　gōo-kun-kuê,五筋膎　gōo-kin-kê
888,[方1]0891,口水,瀾　nuǎ,喙瀾　tshuì-nuā,瀾　nuā,"瀾　nuā, 喙瀾　tshuì-nuā","瀾　nuā, 喙瀾　tshuì-nuā","瀾　nuā, 喙瀾　tshuì-nuā",瀾　nuā,瀾　nuā,瀾　nuā,瀾　nuā
889,[方1]0892,細梳子,蝨篦　sat-pìn,蝨篦　sat-pìn,蝨篦　sat-pìn,"蝨篦　sat-pìn, 較細的捋仔　khah-sè-ê-lua̍h-á",蝨篦　sat-pìn,蝨篦　sat-pìn,蝨篦　sat-pìn,蝨篦　sat-pìn,蝨篦　sat-pìn,蝨篦　sat-pìn
890,[方1]0893,皮膚過敏,起凊瘼　khí-tshìn-mo̍nnh,起凊瘼　khí-tshìn-mōo,起凊瘼　khí-tshìn-mòo,起凊瘼　khí-tshìn-mòo,起凊瘼　khí-tshìn-mō,起凊凹　khí-tshìn-nah,起凊瘼　khí-tshìn-mo̍oh,著凊瘼　tio̍h-tshìn-mo̍oh,起凊瘼　khí-tshìn-mo̍oh,起凊瘼　khí-tshì-nà
891,[方1]0894,醃,豉　sǐnn,豉菜頭　sǐnn-tshài-thâu,豉菜頭　sīnn-tshài-thâu,豉菜頭　sīnn-tshài-thâu,豉菜頭　sīnn-tshài-thâu,豉菜頭　sīnn-tshài-thâu,豉　sīnn,豉　sīnn,豉　sīnn,豉　sīnn
892,[方1]0895,含水噴,哱　phū,𫝞水　bū-tsuí,哱水　phū-tsuí,哱　phū,哱　phū,哱水　phū-tsuí,哱水　phū-tsuí,哱水　phū-tsuí,哱水　phū-tsuí,噴水　phùn-tsuí
893,[方1]0896,什麼,"啥物　siánn-mí, 啥貨　sánn-hèr",啥　siannh,啥貨　sánn-hè,啥貨　sánn-huè,"啥物　siánn-mí, 啥貨　sánn-huè",啥　siánn,"啥貨　sánn-hèr, 物代　mih-tāi","啥貨　siánn-hè, 物代　mih-tāi; bìn-tāi",啥　siannh,啥　sannh
894,[方1]0897,貓叫聲,喓　iaunn,喵　miau,喓　iaunn,喵　ngiau,喵　miau,嚶哦　ìnn-ōnn,喵　miau,喓　iaunn,喵　niau,喵　miau
896,[方1]0899,打水漂,搧水沬　siàn-tsuí-bī,披水披　phi-tsuí-phi,暫無資料　,披水疕仔　phi-tsuí-phí-á,暫無資料　,暫無資料　,拷水星　khó-tsuí-tshinn,漂磚仔杮　pio-tsng-á-phè,"批瓦杮　phue-hiā-phèr, 批瓦批　phue-hiā-phue","拍水擗仔　phah-tsuí-phia̍k-á, 報水披　pò-tsuí-phi"
897,[方1]0900,斗笠,"大笠　tuā-lue̍h, 笠仔　lue̍h-á, 箬笠仔　ha̍h-lue̍h-á",笠仔　lerē-á,笠仔　lue̍h-á,"雨笠　hōo-lē, 笠仔　lē-á","草笠仔　tsháu-le̍h-á, 瓜笠仔　kue-le̍h-á",瓜笠仔　kue-le̍h-á,笠仔　lue̍h--á,笠仔　lue̍h--á,草笠仔　tsháu-lue̍h-á,瓜笠仔　kue-le̍h-á
898,[方1]0901,屎桶,"子孫桶　tsír-sun-tháng, 屎桶　sái-tháng",屎桶　sái-tháng,"子孫桶　tsú-sun-tháng, 屎桶　sái-tháng",屎桶　sái-tháng,"子孫桶　tsú-sun-tháng, 屎桶　sái-tháng",粗桶　thoo-tháng,粗桶　tshoo-tháng,粗桶　tshio-tháng,屎桶　sái-tháng,屎桶　sái-tháng
899,[方1]0902,仙草,青草　tshinn-tsháu,仙草　sian-tsháu,仙草　sian-tsháu,仙草　sian-tsháu,仙草　tshan-tsháu,仙草　sian-tsháu,仙草　sian-tsháu,仙草　sian-tsháu,仙草　sian-tsháu,仙草　sian-tsháu
900,[方1]0903,頭皮屑,頭麩　thâu-phoo,頭麩　thâu-pho,頭麩　thâu-pho,頭麩　thâu-phoo,頭麩　thâu-phoo,頭麩　thâu-phoo,頭麩　thâu-phoo,頭皮　thâu-phê,頭麩　thâu-phoo,頭杮仔　thâu-phuè-á
901,[方1]0904,肚子,腹肚　pak-tóo,腹肚　pak-tóo,腹肚　pat-tóo,腹肚　pat-tóo,腹肚　pak-tóo,腹肚　pak-tóo,腹肚　pak-tóo,腹肚　pak-tóo,腹肚　pak-tóo,腹肚　bat-tóo
902,[方1]0905,腋下,胳下空　kueh-ě-khang,胳胴跤　kueh-tang-kha,胳下空　koh-ē-khang,胳胴跤　kueh-lang-kha,"胳下空　kueh-ē-khang, 胳耳空　kueh-hīnn-khang",胳耳空　kueh-hīnn-khang,胳下空　kuih-ē-khang,胳下空　koh-ē-khang,胳下胴　kueh-ē-lang,胳胴跤　kueh-lang-kha
903,[方1]0906,身體,身軀　sing-khu,身軀　sin-khu,身軀　siang-khu; sing-khu,身軀　hun-su,身軀　sing-khu,身軀　sing-khu,身軀　sing-khu,身軀　sing-khu,身軀　sing-khu,身軀　sing-khu
904,[方1]0907,沒關係,無要緊　bô-iàu-kín,無要緊　bô-iàu-kín,無要緊　bô-iàu-kín,"無要緊　bô-á-kín, 無關係　bô-kuan-hē","無要緊　bôr-á-kín, 無關係　bôr-kuan-hē","無要緊　bôr-á-kín, 無關係　bôr-kuan-hē",袂要緊　bē-iàu-kín,袂要緊　buē-á-kín,袂要緊　buē-iàu-kín,無要緊　bô-á-kín
905,[方1]0908,有錢人,暫無資料　,"好額人　hó-giā-lâng, 有錢人　ū-tsînn-lâng",好額人　hó-gia̍h-lâng,"好額人　hó-giā-lâng, 有錢人　ū-tsînn-lâng","好額人　hór-giā-lâng, 有錢人　ū-tsînn-lâng","好額人　hór-gia̍h-lâng, 有錢人　ū-tsînn-lâng",有錢人　ū-tsînn-lâng,"有錢人　ū-tsînn-lâng, 好額人　hó-gia̍h-lâng, 有空　ū-khang","有錢人　ū-tsînn-lâng, 好額人　hó-gia̍h-lâng","有錢人　ū-tsînn-lâng, 好額人　hó-gia̍h-lâng"
906,[方1]0909,陰陽人,半陰陽　puànn-iam-iûnn,半陰陽　puànn-iam-iûnn,半陰陽仔　puànn-iam-iûnn-á,半陰陽仔　puànn-iam-muî-á,半陰陽仔　puànn-iam-iônn-á,半陰陽仔　puànn-lam-niû-á,半陰陽　puànn-iam-iûnn,半陰陽　puànn-iam-iûnn,半陰陽　puànn-iam-iûnn,半陰陽　puànn-iam-iûnn
907,[方1]0910,跛腳,瘸跤　khêr-kha,跛跤　pái-kha,跛跤　pái-kha,瘸跤　khuê-kha,跛跤　pái-kha,瘸跤　khuê-kha,跛跤　pái-kha,跛跤　pái-kha,跛跤　pái-kha,跛跤　pái-kha
908,[方1]0911,瘸手,瘸手　kher-tshiú,瘸手　kher-tshiú,瘸手　khê-tshiú,瘸手　khuê-tshiú,瘸手　khue-tshiú,瘸手　khuê-tshiú,瘸手　kher-tshiú,瘸手　khê-tshiú,瘸手　khê-tshiú,瘸手　khuê-tshiú
909,[方1]0912,聖筊,一桮　tsi̍t-pue,聖桮　siànn-pue,象桮　siūnn-pue,象桮　sīn-pue,象桮　siōnn-pue,象桮　siūnn-pue,象桮　siūnn-pue,象桮　siūnn-pue,象桮　sīn-pue,象桮　sīn-pue
910,[方1]0913,扮家家酒,扮咕咧仔　pǎn-koo-lê-á,扮公伙仔　pān-kong-hér-á,扮公伙仔　pān-kong-hé-á,扮公伙仔　pān-kong-hué-á,扮公伙仔　pān-kong-hué-á,"掩咯雞　am-ko̍k-ke, 扮公伙仔　pān-kong-hué-á",扮公伙仔　pān-kong-hér--á,扮公貨仔　pān-kong-hè--á,扮姑伙仔　pān-koo-hér-á ,扮公伙仔　pān-kong-hué-á 
911,[方1]0914,老鷹抓小雞,覓　bǎ,覓雞仔　bā-kere-á,"挾　gia̍p, 覓　bā",鋏　giap,挾　nge̍h,挾　nge̍h,覓　buâ,挾　nge̍h,㨑　tsang,欱　hop
912,[方1]0915,他,伊　i,伊　i,伊　i,伊　i,伊　i,伊　i,伊　ī,伊　i,伊　i,伊　ī
913,[方1]0916,他們,𪜶　in,𪜶　in,𪜶　in,𪜶　īn,𪜶　īn,𪜶　in,𪜶　in,𪜶　in,𪜶　in,𪜶　īn
914,[方1]0917,差勁,頇顢　hân-bǎn,頇顢　hân-bān,頇顢　hân-bān,頇顢　hân-bān,頇顢　hân-bān,頇顢　hân-bān,頇顢　hân-bān,頇顢　hân-bān,頇顢　hân-bān,頇顢　hân-bān
915,[方1]0918,用橡皮筋彈,擉　ta̍k,擗　phia̍k,擗　phia̍k,擗　pia̍k,擗　phia̍k,擗　phia̍k,擉　tiak,彈　tuānn,擗　phia̍k,擗　phia̍k
916,[方1]0919,閃電,爍爁　sinnh-nà,爍爁　sih-nà,搉爍爁　khà-sih-nà,"閃電　siám-tiān, 爍爁　sinnh-nà","閃電　siám-tiān, 爍爁　sinnh-nà","閃電　siám-tiān, 爍爁　sinnh-nà",爍爁　sinnh-nà,爍爁　sinnh-nà,爍爁　sinnh-nà,爍爁　sinnh-nah
917,[方1]0920,旁邊,邊仔　pinn--á,"旁邊　pông-pinn, 邊仔　pinn--á",邊仔　pinn--á,邊仔　pinn--á,邊仔　pinn--á,邊仔　pinn--á,身邊　sin-pinn,"身邊　sin-pinn, 邊仔　pinn--á","身邊　sin-pinn, 邊仔　pinn--á",邊仔　pinn--á
918,[方1]0921,扇子,"扇　sìnn, 葵扇　khuê-sìnn",扇　sìnn,"烘爐扇　hang-lôo-sìnn, 紙扇　tsuá-sìnn, 葵扇　khue-sìnn","日本仔葵扇　ji̍t-pún-á-khue-sìnn, 竹仔扇　tik-á-sìnn, 扇　sìnn, 紙葵扇　tsuá-khue-sìnn, 葵扇　khue-sìnn","扇　sìnn, 葵扇　khue-sìnn","日本仔葵扇　ji̍t-pún-á-khue-sìnn, 紙扇　tsuá-sìnn, 葵扇　khue-sìnn, 篾仔扇　bi̍h-á-sìnn",葵扇　kher-sìnn,葵扇　khue-sìnn,"扇　sìnn, 葵扇　khue-sìnn",葵扇　khue-sìnn
919,[方1]0922,堤岸,暫無資料　,石駁　tsio̍h-poh,駁岸　poh-huānn,駁崁　poh-khàm,暫無資料　,暫無資料　,岸　huānn,暫無資料　,石駁　tsio̍h-phoh,駁岸　phoh-huānn
920,[方1]0923,爛泥巴,爛溝仔糜　nuā-koo-á-bêr,塗溝糜　thôo-kau-muê,"湳塗　làm-thôo, 塗溝糜仔　thôo-kau-bê-á, 塗糜　thôo-bê, 爛溝糜仔　nuā-kau-bê-á","路溝仔糜　lōo-koo-á-muê, 爛塗　nuā-thôo",漉糊糜仔　lo̍k-kôo-muê-á,漉糊仔糜　lo̍k-kôo-á-muâi,塗糜漿　thôo-bêr-tsiunn,爛溝仔糜　nuā-kau-á-bê,"爛塗　nuā-thôo, 漉溝糜仔　lo̍k-koo-bê-á","爛塗　nuā-thôo, 漉溝仔糜　lo̍k-koo-á-muê"
921,[方1]0924,現在,"這陣　tsit-tsūn, 這馬　tsit-má, 這路尾　tsit-lǒo-bér",這馬　tsit-má,這馬　tsit-má,"今　tann, 這陣　tsit-tsūn, 這馬　tsit-má","今　tann, 這時　tsiàng-sî, 這陣　tsit-tsūn, 這馬　tsit-má","今　tann, 這時　tsiah-sî, 這陣　tsit-tsūn; tsín, 這馬　tsit-má",這陣　tsún,"這陣　tsit tsūn, 今　tann","這陣　tsit-tsūn, 這馬　tsit-má","這馬　tsit-má, 這陣　tsit-tsūn"
922,[方1]0925,秋天,秋天　tshiu-thinn,秋仔　tshiu-á,秋天　tshiu-thinn,秋天　tshiu-thinn,秋天　tshiu-thinn,秋天　tshiu-thinn,秋天　tshiu-thinn,秋天　tshiu-thinn,秋天　tshiu-thinn,秋天　tshiu-thinn
923,[方1]0926,洗衣板,洗衫枋　sué-sann-pang,洗衫枋　seré-sann-pang,"洗衫枋　sué-sann-pang, 挩枋　thuah-pang",洗衫枋　sé-sann-pang,挩枋　thuah-pang,挩枋仔　thuah-pang-á,洗衫枋　sué-sann-pang,洗衫枋　sué-sann-pang,"洗衫枋　sué-sann-pang, 挩枋　thuah-pang",洗衫枋　sé-sann-pang 
924,[方1]0927,牙刷,齒抿　khí-bín,齒抿　khí-bín,齒抿仔　khí-bín-á,齒抿仔　khí-bín-á,齒抿仔　khí-bín-á,齒抿　khí-bín,齒抿　khí-bín; khí-bián,齒抿　khí-bín ,齒抿仔　khí-bín-á,齒抿仔　khí-bín-á
925,[方1]0928,扒癢具、不求人,抓扒仔　liàu-pê-á,"不求人　put-kiû-jîn, 抓扒仔　jiàu-pê-á","不求人　put-kiû-lîn, 抓扒仔　niàu-pê-á","不求人　put-kiû-jîn, 扒仔　pê-á",扒癢的　pê-tsiōnn--ê,"不求人　put-kiû-jîn, 尻脊扒仔　kha-tsiah-pê-á",抓尻脊彼枝　niàu ka-tsiah hit ki,竹桮　tik-pue,扒仔　pê-á,抓扒仔　giàu-pê-á
